Event Id,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft damage,Aircraft Category,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of flight,Air carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad phase of flight,City,State,Year,Month,Day,Number of Passengers,Survival rate
20190211X15851,2019-02-11,"Richmond, IN",United States,Richmond Muni,Non-Fatal,Substantial,Airplane,Beech,400,No,2.0,Turbo Fan,Business,"Stein's Aircraft Services, LLC",0.0,0.0,0.0,3.0,IMC,,Richmond, IN,2019,2,11,3.0,1.0
20190220X00053,2019-02-20,"Tulsa, OK",United States,RICHARD LLOYD JONES JR,Non-Fatal,Substantial,Airplane,Cirrus,SR22,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,,Tulsa, OK,2019,2,20,1.0,1.0
20190222X72357,2019-02-22,"Stallion Springs, CA",United States,,Fatal,Destroyed,Airplane,Beech,D55,No,2.0,Reciprocating,Business,,3.0,0.0,0.0,0.0,Unk,,Stallion Springs, CA,2019,2,22,3.0,0.0
20190312X50739,2019-03-12,"Latrobe, PA",United States,Arnold Palmer Rgnl,Non-Fatal,Substantial,Airplane,Beech,A100,No,2.0,Turbo Prop,Business,,0.0,0.0,0.0,4.0,VMC,,Latrobe, PA,2019,3,12,4.0,1.0
20190317X93630,2019-03-17,"Plain City, OH",United States,,Fatal,Destroyed,Airplane,Cessna,421,No,2.0,Reciprocating,Business,Phoenix Flight Test,1.0,0.0,0.0,0.0,IMC,,Plain City, OH,2019,3,17,1.0,0.0
20190422X20140,2019-04-22,"Kerrville, TX",United States,Kerrville Muni/Louis Schreiner,Fatal,Substantial,Airplane,Beech,58,No,2.0,Reciprocating,Business,,6.0,0.0,0.0,0.0,IMC,,Kerrville, TX,2019,4,22,6.0,0.0
20190509X05207,2019-05-08,"Moose Lake, MN",United States,Moose Lake Carlton County Airp,Fatal,Substantial,Airplane,Mooney,M20J,No,1.0,Reciprocating,Business,,1.0,0.0,0.0,0.0,IMC,,Moose Lake, MN,2019,5,8,1.0,0.0
20190512X92801,2019-05-11,"Mount Holly, NJ",United States,SOUTH JERSEY RGNL,Non-Fatal,Substantial,Airplane,Aero  mmander,695,No,2.0,Turbo Prop,Business,Jersey Ordnance Inc,0.0,0.0,0.0,2.0,VMC,,Mount Holly, NJ,2019,5,11,2.0,1.0
20190513X03825,2019-05-13,"Frankfort, MI",United States,,Fatal,Substantial,Airplane,Beech,V35,No,1.0,Reciprocating,Business,,2.0,0.0,0.0,0.0,VMC,,Frankfort, MI,2019,5,13,2.0,0.0
20190520X43445,2019-05-15,"Morrilton, AR",United States,MORRILTON MUNI,Non-Fatal,Substantial,Helicopter,Sikorsky,S76,No,2.0,Turbo Shaft,Business,Arkansas Childrens Hospital,0.0,0.0,0.0,6.0,VMC,,Morrilton, AR,2019,5,15,6.0,1.0
20190530X80613,2019-05-30,"Cleburne, TX",United States,,Non-Fatal,Substantial,Airplane,Lancair,LC41,No,,Reciprocating,Business,"Van Bortel Aircraft, Inc",0.0,0.0,0.0,1.0,VMC,,Cleburne, TX,2019,5,30,1.0,1.0
20190628X80552,2019-06-27,"Janesville, WI",United States,,Non-Fatal,Minor,Airplane,Cessna,560,No,2.0,Turbo Jet,Business,Mueller Aero Inc,0.0,1.0,1.0,2.0,VMC,,Janesville, WI,2019,6,27,4.0,1.0
20190722X23001,2019-07-22,"Boise, ID",United States,Boise Air Terminal/Gowen Field,Non-Fatal,Substantial,Airplane,Cessna,402,No,2.0,Reciprocating,Business,Western Airlines LC,0.0,0.0,0.0,3.0,VMC,,Boise, ID,2019,7,22,3.0,1.0
